Average Distance,Average X,Average Y,Average Pairwise Distance,timestamp
145537.1862,-1,-1,-1.0,2021-10-02 03:28:11
145537.1862,-1,-1,-1.0,2021-10-02 00:07:21
188004.5582,203,166,161.3112,2021-10-01 13:44:47
168569.0351,196,156,168.064,2021-10-01 15:00:06
145604.4339,235,160,186.8192,2021-10-01 13:19:41
145604.4339,-1,-1,-1.0,2021-10-02 02:27:56
145604.4339,-1,-1,-1.0,2021-10-01 21:41:45
110066.1905,197,153,179.7072,2021-10-01 09:04:44
110066.1905,-1,-1,-1.0,2021-10-01 22:36:59
137032.3819,187,164,193.1364,2021-10-01 10:35:05
149334.3891,220,126,124.9991,2021-10-01 11:40:21
149334.3891,-1,-1,-1.0,2021-10-01 21:26:41
91370.46,204,158,187.3915,2021-10-02 07:09:06
91370.46,-1,-1,-1.0,2021-10-01 21:56:49
91370.46,-1,-1,-1.0,2021-10-02 00:22:25
91370.46,-1,-1,-1.0,2021-10-01 22:06:51
91370.46,-1,-1,-1.0,2021-10-01 19:31:12
115429.8014,210,148,171.6482,2021-10-02 08:19:23
155953.623,212,162,201.7279,2021-10-01 10:15:01
109579.9678,204,127,165.2163,2021-10-02 07:54:17
109579.9678,-1,-1,-1.0,2021-10-02 02:07:51
109579.9678,-1,-1,-1.0,2021-10-02 03:23:10
111760.5035,189,147,182.0754,2021-10-02 09:44:44
87069.8064,204,164,175.4178,2021-10-02 07:04:05
151655.996,247,134,165.3262,2021-10-01 12:54:35
151655.996,-1,-1,-1.0,2021-10-02 03:38:14
151655.996,-1,-1,-1.0,2021-10-02 01:57:49
151655.996,-1,-1,-1.0,2021-10-01 21:46:46
151655.996,-1,-1,-1.0,2021-10-02 04:58:34
169964.1546,221,138,156.104,2021-10-01 14:14:55
169964.1546,-1,-1,-1.0,2021-10-01 17:55:48
169964.1546,-1,-1,-1.0,2021-10-02 00:32:27
116330.455,204,146,179.7031,2021-10-01 15:45:17
103769.1776,182,160,179.9861,2021-10-01 08:59:42
125569.186,193,162,180.7185,2021-10-02 08:49:31
125569.186,-1,-1,-1.0,2021-10-02 01:02:35
173089.3492,234,125,169.2794,2021-10-01 12:44:33
173089.3492,-1,-1,-1.0,2021-10-01 19:06:06
173089.3492,-1,-1,-1.0,2021-10-01 18:35:58
173089.3492,-1,-1,-1.0,2021-10-01 20:26:26
141150.6921,197,154,185.6361,2021-10-01 11:20:16
141150.6921,-1,-1,-1.0,2021-10-01 22:42:00
118081.5332,184,142,157.2703,2021-10-01 15:30:13
109695.3355,205,143,173.0933,2021-10-02 07:19:09
109695.3355,-1,-1,-1.0,2021-10-01 18:00:49
124966.64,215,136,148.4731,2021-10-01 17:15:38
124966.64,-1,-1,-1.0,2021-10-02 03:43:15
124966.64,-1,-1,-1.0,2021-10-01 22:16:54
119659.9598,232,124,152.4601,2021-10-02 07:44:15
145709.9107,247,163,188.8572,2021-10-01 13:14:40
138865.9323,219,151,187.411,2021-10-01 11:15:15
123275.8939,225,156,150.8442,2021-10-02 08:09:21
